;course;daytime/evening attendance;previous qualification (grade);displaced;tuition fees up to date;scholarship holder;curricular units 1st sem (evaluations);curricular units 1st sem (grade);unemployment rate;inflation rate;gdp;target
259;Ciencias Sociales;Yes;Basic;Yes;No;No;Medium Low;Low Failure;Superior;Low;Low;Dropout
260;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Medium;Very Low;Graduate
261;Ciencias Sociales;No;Low Failure;No;Yes;No;Very Low;Failure;High;High;Low;Dropout
262;Ciencias Exactas;Yes;Basic;No;No;No;Medium Low;Low Failure;Low;Medium;Medium;Dropout
263;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;Medium;Medium;Medium;Graduate
264;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
265;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
266;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;High;High;Low;Graduate
267;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Low Failure;High;High;Low;Graduate
268;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Medium;Medium;Medium;Graduate
269;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Basic;High;High;Low;Graduate
270;Ciencias Agrarias;Yes;Basic;No;Yes;Yes;Low;Basic;High;Low;Medium;Graduate
271;Ciencias Exactas;Yes;Basic;Yes;No;No;Low;Failure;Low;Medium;Medium;Dropout
272;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Graduate
273;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Medium;Low;High;Graduate
274;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Satisfactory;Superior;Low;Low;Graduate
275;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
276;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;High;High;Low;Dropout
277;Ciencias Agrarias;Yes;Basic;No;No;No;Medium Low;Low Failure;Low;Medium;Medium;Dropout
278;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Basic;High;Low;Medium;Enrolled
279;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Superior;Medium;Very Low;Graduate
280;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;Superior;Low;Low;Graduate
281;Ciencias Sociales;No;Basic;Yes;Yes;Yes;Low;Satisfactory;Superior;Low;Low;Graduate
282;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Basic;Low;Medium;High;Graduate
283;Diseno;Yes;Basic;No;Yes;Yes;Very Low;Basic;Superior;Low;Low;Graduate
284;Ciencias Sociales;No;Basic;No;Yes;No;Low;Basic;Low;Medium;Medium;Graduate
285;Ciencias Sociales;Yes;Low Failure;No;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
286;Diseno;Yes;Basic;No;Yes;No;Low;Basic;Superior;Medium;Very Low;Enrolled
287;Ciencias Sociales;No;Satisfactory;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
288;Ciencias Sociales;No;Basic;Yes;Yes;Yes;Low;Low Failure;Medium;Medium;Medium;Graduate
289;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
290;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Superior;Medium;Very Low;Graduate
291;Ciencias Agrarias;Yes;Basic;No;Yes;Yes;Low;Satisfactory;High;Low;Medium;Graduate
292;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
293;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;Low;Medium;High;Graduate
294;Diseno;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;Low;Medium;High;Dropout
295;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Satisfactory;Medium;Medium;Medium;Graduate
296;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;High;Low;Medium;Graduate
297;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
298;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
299;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
300;Diseno;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Low;High;Graduate
301;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Low Failure;Medium;Medium;Medium;Graduate
302;Ciencias de la Salud;Yes;Satisfactory;No;Yes;Yes;Low;Satisfactory;Superior;Medium;Very Low;Graduate
303;Diseno;Yes;Basic;No;No;No;Very Low;Basic;Low;Low;Very Low;Dropout
304;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Failure;Low;Low;Very Low;Dropout
305;Diseno;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Enrolled
306;Diseno;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Low;High;Graduate
307;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;High;High;Low;Dropout
308;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
309;Ciencias Agrarias;Yes;Basic;Yes;No;No;Very Low;Low Failure;High;Low;Medium;Dropout
310;Ciencias Sociales;Yes;Satisfactory;No;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
311;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
312;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Very Low;Low Failure;Medium;Low;High;Graduate
313;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
314;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Dropout
315;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Superior;Medium;Low;High;Graduate
316;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;Superior;Low;Low;Graduate
317;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Basic;Medium;Low;High;Graduate
318;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;High;Low;Medium;Graduate
319;Ciencias de la Salud;Yes;Satisfactory;No;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Enrolled
320;Ciencias de la Salud;Yes;Basic;No;No;No;Very Low;Failure;Low;Medium;High;Dropout
321;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;Yes;Low;Basic;Medium;Medium;Medium;Graduate
322;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Superior;Low;Low;Graduate
323;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
324;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
325;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Superior;Low;Low;Graduate
326;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
327;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
328;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Enrolled
329;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Enrolled
330;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Low;High;Enrolled
331;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Low;Low;Dropout
332;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Very Low;Low Failure;High;Low;Medium;Graduate
333;Ciencias Sociales;No;Basic;No;Yes;No;Very Low;Basic;High;High;Low;Graduate
334;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Low;Low;Very Low;Graduate
335;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
336;Ciencias Sociales;Yes;Low Failure;No;Yes;No;Low;Satisfactory;High;Low;Medium;Graduate
337;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
338;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
339;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
340;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Enrolled
341;Diseno;Yes;Superior;Yes;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
342;Ciencias Sociales;No;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
343;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Basic;Superior;Low;Low;Graduate
344;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Low;Very Low;Enrolled
345;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Low;Very Low;Graduate
346;Ciencias Sociales;Yes;Low Failure;No;Yes;No;Medium High;Low Failure;Superior;Medium;Very Low;Enrolled
347;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Graduate
348;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;High;High;Low;Graduate
349;Ciencias Sociales;No;Low Failure;No;Yes;No;Low;Low Failure;Low;Low;Very Low;Enrolled
350;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Dropout
351;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
352;Diseno;Yes;Basic;Yes;No;No;Very Low;Failure;Low;Low;Very Low;Dropout
353;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Satisfactory;Low;Medium;Medium;Graduate
354;Ciencias Sociales;Yes;Basic;No;No;No;Low;Low Failure;Medium;Medium;Medium;Dropout
355;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
356;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
357;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Failure;High;High;Low;Dropout
358;Ciencias Agrarias;Yes;Basic;No;Yes;Yes;Very Low;Failure;Medium;Low;High;Enrolled
359;Ciencias de la Salud;Yes;Satisfactory;No;Yes;No;Very Low;Failure;Low;Medium;High;Dropout
360;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Graduate
361;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Medium;Medium;Medium;Dropout
362;Ciencias Exactas;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Superior;Low;Low;Enrolled
363;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Medium Low;Basic;Low;Medium;High;Graduate
364;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;Medium;Enrolled
365;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Superior;Superior;Medium;Very Low;Graduate
366;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;Low;Medium;Medium;Graduate
367;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
368;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Medium;High;Graduate
369;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Dropout
370;Ciencias Sociales;No;Satisfactory;No;Yes;No;Low;Basic;Superior;Low;Low;Graduate
371;Ciencias Exactas;No;Basic;No;Yes;Yes;Low;Low Failure;High;Low;Medium;Enrolled
372;Ciencias Sociales;Yes;Satisfactory;No;Yes;Yes;Very Low;Basic;Superior;Medium;Very Low;Graduate
373;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
374;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;High;High;Low;Dropout
375;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Enrolled
376;Ciencias Exactas;Yes;Basic;Yes;No;No;Very Low;Failure;Low;Low;Very Low;Dropout
377;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;High;Low;Medium;Graduate
378;Ciencias Sociales;Yes;Basic;Yes;No;Yes;Very Low;Basic;Low;Medium;High;Enrolled
379;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Medium Low;Basic;Superior;Low;Low;Enrolled
380;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Basic;Superior;Low;Low;Dropout
381;Ciencias de la Salud;Yes;Satisfactory;No;Yes;No;Low;Basic;High;Low;Medium;Enrolled
382;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
383;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;Superior;Medium;Very Low;Graduate
384;Ciencias Exactas;Yes;Basic;No;Yes;No;Medium Low;Basic;Low;Medium;High;Graduate
385;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
386;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
387;Ciencias Exactas;No;Basic;No;Yes;No;Medium Low;Low Failure;Medium;Medium;Medium;Graduate
388;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Medium;Very Low;Enrolled
389;Ciencias Sociales;No;Satisfactory;No;Yes;Yes;Very Low;Satisfactory;High;Low;Medium;Graduate
390;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Enrolled
391;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Enrolled
392;Ciencias Sociales;Yes;Basic;Yes;No;No;Low;Basic;Low;Medium;Medium;Dropout
393;Ciencias de la Salud;Yes;Basic;No;No;No;Low;Low Failure;Low;Medium;Medium;Dropout
394;Ciencias de la Salud;Yes;Satisfactory;No;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
395;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Medium;Medium;Medium;Graduate
396;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
397;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;Low;Medium;Graduate
398;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Dropout
399;Ciencias Exactas;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Superior;Low;Low;Dropout
400;Diseno;Yes;Basic;No;Yes;Yes;Low;Low Failure;Low;Medium;High;Enrolled
401;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Enrolled
402;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;Medium;Enrolled
403;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Low Failure;High;Low;Medium;Enrolled
404;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Medium;Medium;Medium;Graduate
405;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;High;High;Low;Graduate
406;Diseno;Yes;Basic;Yes;Yes;No;Low;Basic;High;Low;Medium;Graduate
407;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Satisfactory;Low;Medium;High;Graduate
408;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Superior;Medium;Very Low;Graduate
409;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
410;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Medium;Medium;Medium;Graduate
411;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
412;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
413;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
414;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Medium;High;Graduate
415;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
416;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Superior;Medium;Very Low;Graduate
417;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;High;Low;Dropout
418;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Low Failure;Low;Medium;Medium;Graduate
419;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;High;High;Low;Dropout
420;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Basic;Medium;Low;High;Graduate
421;Ciencias Exactas;No;Satisfactory;No;Yes;No;Low;Satisfactory;Low;Medium;Medium;Graduate
422;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
423;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
424;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Graduate
425;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
426;Diseno;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Low;High;Graduate
427;Ciencias Exactas;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Enrolled
428;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Failure;Medium;Medium;Medium;Dropout
429;Diseno;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Graduate
430;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Medium;Medium;Medium;Graduate
431;Ciencias Sociales;No;Basic;No;Yes;Yes;Low;Low Failure;Superior;Medium;Very Low;Graduate
432;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
433;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Very Low;Failure;Low;Medium;Medium;Dropout
434;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Superior;Medium;Very Low;Graduate
435;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;High;Low;Graduate
436;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;High;Low;Medium;Enrolled
437;Diseno;Yes;Basic;No;Yes;Yes;Very Low;Satisfactory;High;High;Low;Graduate
438;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
439;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Low;Medium;Medium;Graduate
440;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;Medium;Medium;Medium;Enrolled
441;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;High;Low;Enrolled
442;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Graduate
443;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Medium;Medium;Medium;Graduate
444;Diseno;Yes;Basic;No;Yes;No;Very Low;Low Failure;Low;Low;Very Low;Graduate
445;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
446;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Satisfactory;High;Low;Medium;Graduate
447;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Medium;Very Low;Dropout
448;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Low;High;Graduate
449;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;Low;Medium;Enrolled
450;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Medium;Medium;Medium;Graduate
451;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Medium;Medium;Medium;Graduate
452;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Superior;Medium;Very Low;Graduate
453;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Low;Very Low;Graduate
454;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Low;Low;Very Low;Enrolled
455;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
456;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
457;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;High;High;Low;Dropout
458;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;High;Graduate
459;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;Superior;Low;Low;Graduate
460;Ciencias Agrarias;Yes;Satisfactory;Yes;Yes;No;Very Low;Superior;High;High;Low;Graduate
461;Diseno;Yes;Basic;No;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
462;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Graduate
463;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
464;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Enrolled
465;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;Medium;Medium;Medium;Dropout
466;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Superior;Medium;Very Low;Enrolled
467;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Medium Low;Basic;Low;Low;Very Low;Graduate
468;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
469;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;High;High;Low;Graduate
470;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Medium;Medium;Medium;Graduate
471;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
472;Diseno;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Dropout
473;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
474;Ciencias Sociales;Yes;Basic;Yes;No;No;Low;Failure;Low;Medium;Medium;Dropout
475;Diseno;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
476;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Dropout
477;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
478;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Low;Low;Graduate
479;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Medium;High;Enrolled
480;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
481;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;High;High;Low;Graduate
482;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
483;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Enrolled
484;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;Yes;Low;Basic;High;Low;Medium;Graduate
485;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;Medium;Medium;Medium;Graduate
486;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Dropout
487;Diseno;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Dropout
488;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Superior;Medium;Very Low;Graduate
489;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;High;Low;Medium;Graduate
490;Diseno;Yes;Low Failure;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
491;Diseno;Yes;Basic;No;Yes;No;Very Low;Satisfactory;High;Low;Medium;Graduate
492;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
493;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;No;Low;Basic;High;Low;Medium;Enrolled
494;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
495;Ciencias Agrarias;Yes;Basic;No;No;No;Very Low;Low Failure;High;High;Low;Dropout
496;Ciencias de la Salud;Yes;Low Failure;No;Yes;No;Low;Failure;High;High;Low;Dropout
497;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Medium;Low;High;Graduate
498;Diseno;Yes;Basic;No;Yes;No;Very Low;Low Failure;Superior;Low;Low;Graduate
499;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
500;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Enrolled
501;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Low;High;Graduate
502;Diseno;Yes;Basic;No;No;No;Low;Basic;High;Low;Medium;Enrolled
503;Ciencias de la Salud;Yes;Basic;No;No;No;Low;Low Failure;Medium;Medium;Medium;Dropout
504;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;High;High;Low;Graduate
505;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Enrolled
506;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Satisfactory;Superior;Low;Low;Enrolled
507;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;High;Low;Graduate
508;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Basic;Low;Low;Very Low;Dropout
509;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
510;Diseno;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Enrolled
511;Ciencias Sociales;No;Basic;No;No;No;Very Low;Failure;Medium;Medium;Medium;Dropout
512;Diseno;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
513;Ciencias Exactas;No;Low Failure;No;No;No;Very Low;Failure;High;High;Low;Dropout
514;Ciencias Sociales;No;Basic;No;No;No;Very Low;Failure;Low;Low;Very Low;Dropout
515;Ciencias Sociales;Yes;Basic;No;No;No;Very Low;Failure;Low;Low;Very Low;Dropout
516;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Medium;High;Graduate
517;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Dropout
